time_s,pga_gal,mmi,category,vibration_detected
196.06,0.03,I,Instrumental,0
196.17,13.84,V,Moderate,1
196.29,41.16,VI,Strong,1
196.4,13.0,V,Moderate,1
196.52,5.54,IV,Light,1
196.64,3.39,III,Weak,0
196.74,28.05,VI,Strong,1
196.85,14.23,V,Moderate,1
196.96,0.33,I,Instrumental,0
197.08,7.2,IV,Light,1
197.18,27.98,VI,Strong,1
197.3,32.09,VI,Strong,1
197.41,18.78,V,Moderate,1
197.52,6.03,IV,Light,1
197.63,0.31,I,Instrumental,0
197.74,0.64,I,Instrumental,0
197.85,26.47,VI,Strong,1
197.97,11.39,V,Moderate,1
198.08,7.88,IV,Light,1
198.19,23.93,V,Moderate,1
198.29,2.4,III,Weak,0
198.41,14.09,V,Moderate,1
198.52,19.96,V,Moderate,1
198.63,1.96,II,Very Weak,0
198.74,5.15,IV,Light,1
198.85,9.02,IV,Light,1
198.96,16.32,V,Moderate,1
199.08,23.88,V,Moderate,1
199.18,6.32,IV,Light,1
199.3,7.32,IV,Light,1
199.42,2.51,III,Weak,0
199.53,1.72,II,Very Weak,0
199.64,14.92,V,Moderate,1
199.75,4.61,III,Weak,0
199.86,25.05,VI,Strong,1
199.98,4.34,III,Weak,0
200.09,47.18,VI,Strong,1
200.2,11.05,V,Moderate,1
200.31,35.19,VI,Strong,1
200.43,20.76,V,Moderate,1
200.54,6.87,IV,Light,1
200.65,7.44,IV,Light,1
200.76,34.84,VI,Strong,1
200.88,9.43,IV,Light,1
200.99,6.45,IV,Light,1
201.1,52.89,VII,Very Strong,1
201.21,28.0,VI,Strong,1
201.32,22.46,V,Moderate,1
201.44,29.6,VI,Strong,1
201.56,12.75,V,Moderate,1
201.66,24.94,V,Moderate,1
201.78,33.29,VI,Strong,1
201.89,45.64,VI,Strong,1
202.0,130.04,VIII,Severe,1
202.11,32.86,VI,Strong,1
202.22,2.07,III,Weak,0
202.34,83.08,VII,Very Strong,1
202.45,6.74,IV,Light,1
202.56,15.17,V,Moderate,1
202.68,5.21,IV,Light,1
202.8,1.15,II,Very Weak,0
202.91,30.72,VI,Strong,1
203.02,13.0,V,Moderate,1
203.13,95.76,VII,Very Strong,1
203.24,57.95,VII,Very Strong,1
203.36,55.57,VII,Very Strong,1
203.47,55.74,VII,Very Strong,1
203.59,27.92,VI,Strong,1
203.7,25.07,VI,Strong,1
203.81,4.45,III,Weak,0
203.93,2.1,III,Weak,0
204.05,21.47,V,Moderate,1
204.16,71.82,VII,Very Strong,1
204.27,65.2,VII,Very Strong,1
204.38,24.18,V,Moderate,1
204.49,26.8,VI,Strong,1
204.6,26.88,VI,Strong,1
204.71,6.91,IV,Light,1
204.83,31.08,VI,Strong,1
204.94,18.56,V,Moderate,1
205.05,5.19,IV,Light,1
205.16,11.64,V,Moderate,1
